Institution Name,Branch Name,Established Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits
JPMorgan Chase Bank,Renton Branch,10/20/1961,150 Logan Avenue South,Renton,King,WA,98057,47.48138,-122.20911000000001,73082.0,73952.0,75749.0,72068.0
JPMorgan Chase Bank,Preston and Beltline Branch,11/06/2008,15114 Preston Rd,Dallas,Dallas,TX,75248,32.9542,-96.80396999999999,7119.0,11684.0,22178.0,22365.0
JPMorgan Chase Bank,Hyde Park Banking Center Branch,12/15/2003,1204 East 53rd Street,Chicago,Cook,IL,60615,41.79954,-87.59649,49952.0,57415.0,65144.0,79133.0
JPMorgan Chase Bank,Nesconset Branch,04/17/1974,705 Smithtown Bypass,Smithtown,Suffolk,NY,11787,40.81819,-73.21205,23114.0,26757.0,32616.0,37519.0
JPMorgan Chase Bank,Novi Branch,05/28/1956,43100 Grand River Avenue,Novi,Oakland,MI,48375,42.48002,-83.47205,137078.0,145409.0,165753.0,181205.0
JPMorgan Chase Bank,Treaschwig Branch,12/08/2003,5639 Treaschwig Rd,Spring,Harris,TX,77373,30.04472,-95.3476,15101.0,16623.0,18802.0,19948.0
JPMorgan Chase Bank,Salmon Creek Branch,06/30/1989,12903 Ne Hwy 99,Vancouver,Clark,WA,98686,45.714690000000004,-122.65126000000001,68767.0,67074.0,66426.0,70235.0
JPMorgan Chase Bank,Walton-Livernois Branch,03/17/1967,1290 Walton Boulevard,Rochester Hills,Oakland,MI,48307,42.68172,-83.15212,107412.0,114990.0,133245.0,154273.0
JPMorgan Chase Bank,Carrollton Branch,09/26/1949,2331 S Carrollton Avenue,New Orleans,Orleans,LA,70118,29.9552,-90.12100000000001,112053.0,111923.0,116512.0,131264.0
JPMorgan Chase Bank,Montwood and Loop 375 Branch,11/19/2008,1890 Joe Battle Blvd,El Paso,El Paso,TX,79936,31.7595,-106.26723,7893.0,10440.0,14686.0,17024.0
JPMorgan Chase Bank,Paramount Branch,01/01/1919,15359 Paramount Blvd,Paramount,Los Angeles,CA,90723,33.893209999999996,-118.16017,75812.0,76153.0,80593.0,84901.0
JPMorgan Chase Bank,Blanco and 1604 Banking Center Branch,12/01/2005,18143 Blanco Road,San Antonio,Bexar,TX,78232,29.60718,-98.5084,34591.0,34155.0,38745.0,44244.0
JPMorgan Chase Bank,Croton Branch,10/29/1973,2003 Albany Post Road,Croton-On-Hudson,Westchester,NY,10520,41.233290000000004,-73.91364,92127.0,95431.0,101910.0,109289.0
JPMorgan Chase Bank,Sawgrass Branch,10/03/1994,12590 West Sunrise Boulevard,Sunrise,Broward,FL,33323,26.14532,-80.31814,63776.0,71816.0,87942.0,102348.0
JPMorgan Chase Bank,Hacienda Heights Branch,01/01/1919,17160-D Colima Road,Hacienda Heights,Los Angeles,CA,91745,33.99069,-117.93348999999999,134082.0,153344.0,203315.0,269990.0
JPMorgan Chase Bank,San Diego Hillcrest Branch,05/05/1965,3800 Fifth Avenue,San Diego,San Diego,CA,92103,32.74727,-117.16042,109069.0,114667.0,127171.0,133138.0
JPMorgan Chase Bank,Camelback and 59th Avenue Branch,05/23/1960,5740 West Camelback Road,Glendale,Maricopa,AZ,85301,33.50956,-112.18342,65135.0,70539.0,70871.0,72814.0
JPMorgan Chase Bank,Desert Vista Branch,09/18/1995,11391 Montwood Drive,El Paso,El Paso,TX,79936,31.767940000000003,-106.29781000000001,34056.0,33227.0,37136.0,37526.0
