institution,branch,date,street_name,city_name,county_name,state_name,Zip,Lat,Long,Deposits_2013,Deposits_2014,Deposits_2015,Deposits_2016,race
JPMorgan Chase Bank,Renton Branch,10/20/1961,150 Logan Avenue South,Renton,King,WA,98057,47.48138,-122.20911,72068.0,74047.0,81847.0,91001,American Indian
JPMorgan Chase Bank,Preston and Beltline Branch,11/06/2008,15114 Preston Rd,Dallas,Dallas,TX,75248,32.9542,-96.80397,22365.0,26223.0,62303.0,65061,Asian
JPMorgan Chase Bank,Hyde Park Banking Center Branch,12/15/2003,1204 East 53rd Street,Chicago,Cook,IL,60615,41.79954,-87.59649,79133.0,91040.0,108448.0,125273,African American
JPMorgan Chase Bank,Nesconset Branch,04/17/1974,705 Smithtown Bypass,Smithtown,Suffolk,NY,11787,40.81819,-73.21205,37519.0,48314.0,58648.0,65908,American Indian
JPMorgan Chase Bank,Novi Branch,05/28/1956,43100 Grand River Avenue,Novi,Oakland,MI,48375,42.48002,-83.47205,181205.0,202553.0,216597.0,259478,Asian
JPMorgan Chase Bank,Treaschwig Branch,12/08/2003,5639 Treaschwig Rd,Spring,Harris,TX,77373,30.04472,-95.3476,19948.0,22605.0,26005.0,29153,African American
JPMorgan Chase Bank,Salmon Creek Branch,06/30/1989,12903 Ne Hwy 99,Vancouver,Clark,WA,98686,45.71469,-122.65126,70235.0,72668.0,83951.0,91218,Asian
JPMorgan Chase Bank,Walton-Livernois Branch,03/17/1967,1290 Walton Boulevard,Rochester Hills,Oakland,MI,48307,42.68172,-83.15212,154273.0,167602.0,186958.0,205032,American Indian
JPMorgan Chase Bank,Carrollton Branch,09/26/1949,2331 S Carrollton Avenue,New Orleans,Orleans,LA,70118,29.9552,-90.121,131264.0,140919.0,149443.0,154043,Asian
JPMorgan Chase Bank,Montwood and Loop 375 Branch,11/19/2008,1890 Joe Battle Blvd,El Paso,El Paso,TX,79936,31.7595,-106.26723,17024.0,22141.0,26248.0,30775,American Indian
JPMorgan Chase Bank,Paramount Branch,01/01/1919,15359 Paramount Blvd,Paramount,Los Angeles,CA,90723,33.89321,-118.16017,84901.0,96561.0,99997.0,109162,Caucasian
JPMorgan Chase Bank,Blanco and 1604 Banking Center Branch,12/01/2005,18143 Blanco Road,San Antonio,Bexar,TX,78232,29.60718,-98.5084,44244.0,54572.0,64264.0,74840,African American
JPMorgan Chase Bank,Croton Branch,10/29/1973,2003 Albany Post Road,Croton-On-Hudson,Westchester,NY,10520,41.23329,-73.91364,109289.0,110926.0,119140.0,131127,American Indian
JPMorgan Chase Bank,Sawgrass Branch,10/03/1994,12590 West Sunrise Boulevard,Sunrise,Broward,FL,33323,26.14532,-80.31814,102348.0,115386.0,120660.0,144004,American Indian
JPMorgan Chase Bank,Hacienda Heights Branch,01/01/1919,17160-D Colima Road,Hacienda Heights,Los Angeles,CA,91745,33.99069,-117.93349,269990.0,349398.0,422258.0,564562,Caucasian
JPMorgan Chase Bank,San Diego Hillcrest Branch,05/05/1965,3800 Fifth Avenue,San Diego,San Diego,CA,92103,32.74727,-117.16042,133138.0,134593.0,143186.0,158573,Asian
JPMorgan Chase Bank,Camelback and 59th Avenue Branch,05/23/1960,5740 West Camelback Road,Glendale,Maricopa,AZ,85301,33.50956,-112.18342,72814.0,70809.0,75869.0,78443,Caucasian
JPMorgan Chase Bank,Desert Vista Branch,09/18/1995,11391 Montwood Drive,El Paso,El Paso,TX,79936,31.767940000000007,-106.29781,37526.0,43078.0,54974.0,49508,Caucasian
JPMorgan Chase Bank,Briarwood Branch,10/03/1973,105 Briarwood Circle,Ann Arbor,Washtenaw,MI,48108,42.24274000000001,-83.74889,113045.0,122650.0,177967.0,204679,African American
JPMorgan Chase Bank,Baptist Rd and I 25 Branch,10/21/2008,785 W Baptist Rd,Colorado Springs,El Paso,CO,80921,39.05653,-104.81426,32546.0,40751.0,43917.0,56747,Caucasian
JPMorgan Chase Bank,Yorktown Heights Branch,07/19/1962,2035 Crompond Road,Yorktown Heights,Westchester,NY,10598,41.27755,-73.78445,126959.0,137324.0,142766.0,152928,Asian
JPMorgan Chase Bank,Holliswood Branch,05/24/1954,205-19 Hillside Avenue,Hollis,Queens,NY,11423,40.72077,-73.76014,143989.0,149796.0,167186.0,181550,American Indian
JPMorgan Chase Bank,Englewood Branch,03/28/2004,55 West Palisades Avenue,Englewood,Bergen,NJ,7631,40.89173,-73.97358,41118.0,45124.0,45436.0,46421,American Indian
JPMorgan Chase Bank,Palomar Airport Branch,11/06/1981,2219 Palomar Airport Road,Carlsbad,San Diego,CA,92011,33.12563,-117.27496,79432.0,94127.0,108786.0,117891,American Indian
JPMorgan Chase Bank,Port Chester Midland Branch,05/08/1981,112 Midland Avenue,Port Chester,Westchester,NY,10573,40.99289,-73.66866999999998,26811.0,29932.0,33547.0,37129,Caucasian
JPMorgan Chase Bank,Crown Centre Plaza Branch,06/05/2000,2596 Enterprise Road,Orange City,Volusia,FL,32763,28.915090000000006,-81.29392,45139.0,47043.0,52273.0,60812,African American
JPMorgan Chase Bank,Northside Branch,07/15/1963,1900 North 18th Street,Monroe,Ouachita,LA,71201,32.526720000000005,-92.11554,70152.0,68557.0,71077.0,85237,African American
JPMorgan Chase Bank,Mount Shasta Branch,12/27/1988,168 Morgan Way,Mount Shasta,Siskiyou,CA,96067,41.31042,-122.3172,30681.0,35160.0,38389.0,42854,Asian
JPMorgan Chase Bank,Weatherford Branch,11/06/2008,225 East Interstate 20,Weatherford,Parker,TX,76086,32.73061,-97.78708,39908.0,50407.0,60727.0,69573,African American
JPMorgan Chase Bank,Waynedale Branch,10/14/1955,2601 Lower Huntington Road,Fort Wayne,Allen,IN,46809,41.02027,-85.17241999999997,49701.0,50621.0,51813.0,53822,African American
JPMorgan Chase Bank,Taylor and May Banking Center Branch,10/27/2005,1130 West Taylor Street,Chicago,Cook,IL,60607,41.86946,-87.65552,41760.0,53591.0,69671.0,84224,African American
JPMorgan Chase Bank,East Thousand Oaks Blvd Branch,01/01/1919,3960 E Thousandoaks Blvd,Westlake Village,Ventura,CA,91362,34.16192,-118.82487,172649.0,207119.0,236618.0,275525,Caucasian
JPMorgan Chase Bank,Soho Branch,10/18/1954,525 Broadway,New York City,New York,NY,10012,40.7229,-73.99889,385854.0,488886.0,508122.0,615029,American Indian
JPMorgan Chase Bank,Ocoee Branch,12/17/2001,1784 E Silver Star Rd,Ocoee,Orange,FL,34761,28.5738,-81.51562,54099.0,52343.0,56956.0,58956,Caucasian
JPMorgan Chase Bank,Hollywood West Branch,01/01/1919,8150 Sunset Blvd,Los Angeles,Los Angeles,CA,90046,34.09793,-118.367,186171.0,202703.0,220246.0,245793,American Indian
JPMorgan Chase Bank,Western & Addison Branch,09/09/2004,3531 N Western Avenue,Chicago,Cook,IL,60618,41.94551,-87.68804,43878.0,46461.0,52171.0,57279,Asian
JPMorgan Chase Bank,Austin Downtown Sixth St Branch,05/28/1890,221 West 6th Street,Austin,Travis,TX,78701,30.26858,-97.74466,1681479.0,1810582.0,1732639.0,1943526,African American
JPMorgan Chase Bank,Capital Plaza Branch,01/03/1961,5407 N I H 35,Austin,Travis,TX,78723,30.30758,-97.68755,111730.0,119368.0,127590.0,140864,Caucasian
JPMorgan Chase Bank,Rancho San Diego East Branch,06/30/1989,2644 Jamacha Road,El Cajon,San Diego,CA,92019,32.74395,-116.93209,161245.0,173463.0,182813.0,209562,African American
JPMorgan Chase Bank,Terrytown Branch,01/01/1905,2320 Belle Chasse,Gretna,Jefferson,LA,70053,29.90248,-90.04978,139092.0,140884.0,142035.0,142063,Caucasian
JPMorgan Chase Bank,Broad Ripple Branch,07/22/1925,706 Broad Ripple Avenue,Indianapolis,Marion,IN,46220,39.86974,-86.14541,88596.0,89166.0,96143.0,110693,Caucasian
JPMorgan Chase Bank,Miami - Brickell Bay Branch,07/01/2003,80 Sw 8th St Ste 100,Miami,Miami-Dade,FL,33130,25.76631,-80.19498,91812.0,110903.0,115085.0,119218,American Indian
JPMorgan Chase Bank,Lake Worth Lake Ave Branch,08/10/1937,200 Lake Avenue,Lake Worth,Palm Beach,FL,33460,26.61573,-80.05074,57432.0,57110.0,60726.0,66128,Asian
JPMorgan Chase Bank,Bainbridge Branch,01/17/1970,3169 Bainbridge Avenue,Bronx,Bronx,NY,10467,40.87514,-73.87956,106185.0,112012.0,108989.0,113878,American Indian
JPMorgan Chase Bank,Monterrey Branch,04/11/1977,2828 Monterrey Boulevard,Baton Rouge,East Baton Rouge,LA,70814,30.47436,-91.08367,62526.0,64490.0,68340.0,76126,Asian
JPMorgan Chase Bank,Grove City East Branch,07/15/2008,4100 Buckeye Pkwy,Grove City,Franklin,OH,43123,39.87827,-83.03915,17899.0,19207.0,24077.0,26255,American Indian
JPMorgan Chase Bank,Bridgeport Halsted Branch,12/07/2004,757 West 35th Street,Chicago,Cook,IL,60616,41.83078,-87.64577,32954.0,87815.0,105490.0,120748,American Indian
JPMorgan Chase Bank,Traverse City Main Branch,03/09/1984,231 East State Street,Traverse City,Grand Traverse,MI,49684,44.76401,-85.61957,201217.0,166675.0,193087.0,210099,African American
JPMorgan Chase Bank,Hillside Town Center Bnk Ctr Branc H,12/10/2009,40 North Mannheim Road,Hillside,Cook,IL,60162,41.86773,-87.88291,17257.0,20766.0,26524.0,28959,Asian
JPMorgan Chase Bank,Barstow Branch,01/01/1889,1291 East Main Street,Barstow,San Bernardino,CA,92311,34.89633,-117.00741,64425.0,60583.0,61733.0,69981,American Indian
JPMorgan Chase Bank,Roscoe Branch,12/18/1979,11440 Main St,Roscoe,Winnebago,IL,61073,42.42624,-89.01273,74806.0,77919.0,81732.0,87867,American Indian
JPMorgan Chase Bank,Apopka Branch,01/01/1933,1 East Main Street,Apopka,Orange,FL,32703,28.67317,-81.51131,39804.0,42349.0,51440.0,59205,Asian
JPMorgan Chase Bank,Butler Branch,02/17/1947,12701 West Hampton Avenue,Butler,Waukesha,WI,53007,43.1046,-88.06956,52221.0,53590.0,55746.0,59030,Caucasian
JPMorgan Chase Bank,Slaiughter Brodie Banking Ctr Branch,10/26/2009,3520 West Skaughter Lane,Austin,Travis,TX,78749,30.21334,-97.8588,25281.0,25530.0,31061.0,33499,American Indian
JPMorgan Chase Bank,International District Uwajimaya Brh,11/16/2000,"600 Fifth Avenue South, Suite 107",Seattle,King,WA,98104,47.5975,-122.32762,46464.0,56612.0,66649.0,78619,Caucasian
JPMorgan Chase Bank,Elm Road Branch,11/13/1998,3394 Elm Road Ne,Warren,Trumbull,OH,44484,41.26564000000001,-80.78282,55753.0,60887.0,63409.0,65727,African American
